行标签,丁香公寓,海棠公寓,竹园公寓
0,10.45956079,0.858559834,3.055173795
1,11.54400746,0.996258113,3.440395652
2,12.70907707,1.153154343,3.864516124
3,13.95679474,1.331426727,4.330082002
4,15.28873783,1.533420858,4.839621329
5,16.70597547,1.761650396,5.395614424
6,18.20900893,2.018795597,6.000462082
7,19.79771383,2.307699393,6.656451135
8,21.47128515,2.631360715,7.365717607
9,23.2281863,2.992924774,8.130207775
10,25.06610331,3.395670013,8.951637531
11,26.98190532,3.84299148,9.831450481
12,28.9716124,4.338380381,10.77077535
13,31.03037203,4.885399653,11.77038322
14,33.15244494,5.487655386,12.83064538
15,35.33120147,6.148764052,13.95149233
16,37.55912913,6.872315499,15.13237487
17,39.82785205,7.661831807,16.37222792
18,42.12816283,8.520722131,17.66943799
19,44.45006694,9.452233799,19.02181503
20,46.78283995,10.45939999,20.4265695
21,49.11509729,11.54498443,21.88029543
22,51.43487621,12.71142372,23.37896017
23,53.72972937,13.96076778,24.91790147
24,55.98682907,15.29461942,26.49183255
25,58.1930812,16.71407359,28.09485546
26,60.33524746,18.21965751,29.72048325
27,62.40007441,19.81127251,31.36167104
28,64.37442764,21.4881387,33.01085609
29,66.24542911,23.24874366,34.66000678
30,68.00059587,25.09079622,36.30068022
31,69.6279779,27.01118648,37.92408809
32,71.11629309,29.00595328,39.52117009
33,72.45505712,31.07026009,41.08267418
34,73.63470632,33.19838049,42.59924286
35,74.64671129,35.38369407,44.06150417
36,75.48367954,37.6186935,45.46016645
37,76.13944547,39.89500366,46.78611542
38,76.60914591,42.203413,48.0305122
39,76.88928022,44.5339177,49.18489085
40,76.97775376,46.87577861,50.24125389
41,76.87390391,49.21759071,51.19216433
42,76.57850838,51.54736504,52.03083272
43,76.0937755,53.85262207,52.75119783
44,75.42331675,56.12049606,53.34799953
45,74.57210188,58.33784904,53.81684272
46,73.54639767,60.49139324,54.15425129
47,72.35369102,62.56782038,54.35771098
48,71.002598,64.5539362,54.4257006
49,69.50276027,66.43679831,54.35771098
50,67.86473059,68.20385543,54.15425129
51,66.09984936,69.8430858,53.81684272
52,64.22011426,71.34313293,53.34799953
53,62.23804495,72.69343621,52.75119783
54,60.16654506,73.88435455,52.03083272
55,58.01876356,74.90728093,51.19216433
56,55.80795756,75.75474589,50.24125389
57,53.5473585,76.42050838,49.18489085
58,51.25004356,76.89963226,48.0305122
59,48.92881408,77.18854726,46.78611542
60,46.59608235,77.28509327,45.46016645
61,44.26376816,77.18854726,44.06150417
62,41.94320612,76.89963226,42.59924286
63,39.64506467,76.42050838,41.08267418
64,37.3792773,75.75474589,39.52117009
65,35.15498637,74.90728093,37.92408809
66,32.98049968,73.88435455,36.30068022
67,30.86325963,72.69343621,34.66000678
68,28.8098248,71.34313293,33.01085609
69,26.82586323,69.8430858,31.36167104
70,24.91615698,68.20385543,29.72048325
71,23.08461707,66.43679831,28.09485546
72,21.33430772,64.5539362,26.49183255
73,19.66747917,62.56782038,24.91790147
74,18.08560771,60.49139324,23.37896017
75,16.58944198,58.33784904,21.88029543
76,15.17905425,56.12049606,20.4265695
77,13.85389566,53.85262207,19.02181503
78,12.61285419,51.54736504,17.66943799
79,11.45431446,49.21759071,16.37222792
80,10.37621811,46.87577861,15.13237487
81,9.376124093,44.5339177,13.95149233
82,8.451267819,42.203413,12.83064538
83,7.598618602,39.89500366,11.77038322
84,6.814934595,37.6186935,10.77077535
85,6.096814782,35.38369407,9.831450481
86,5.440747546,33.19838049,8.951637531
87,4.843155484,31.07026009,8.130207775
88,4.300436236,29.00595328,7.365717607
89,3.808999164,27.01118648,6.656451135
90,3.365297832,25.09079622,6.000462082
91,2.9658583,23.24874366,5.395614424
92,2.607303298,21.4881387,4.839621329
93,2.286372425,19.81127251,4.330082002
94,1.999938576,18.21965751,3.864516124
95,1.745020787,16.71407359,3.440395652
96,1.518793801,15.29461942,3.055173795
97,1.318594594,13.96076778,2.706311073
98,1.14192618,12.71142372,2.391298395
99,0.986458984,11.54498443,2.107677183
100,0.850030088,10.45939999,1.853056578
101,0.730640646,9.452233799,1.625127834
102,0.626451744,8.520722131,1.421676032
103,0.535778992,7.661831807,1.240589264
104,0.457086087,6.872315499,1.079865482
105,0.388977596,6.148764052,0.937617196
106,0.330191156,5.487655386,0.812074235
107,0.279589302,4.885399653,0.701584788
108,0.236151075,4.338380381,0.60461492
109,0.198963571,3.84299148,0.519746794
110,0.167213551,3.395670013,0.44567579
111,0.14017922,2.992924774,0.381206704
112,0.117222255,2.631360715,0.325249233
113,0.097780165,2.307699393,0.276812881
114,0.081359023,2.018795597,0.235001468
115,0.06752661,1.761650396,0.19900735
116,0.055906002,1.533420858,0.1681055
117,0.046169608,1.331426727,0.141647526
118,0.038033667,1.153154343,0.119055737
119,0.031253199,0.996258113,0.099817324
总计,3775.895697,3864.018182,2707.152943
